"","PROBEID","SYMBOL"
"388","HTA2-neg-47421387_st",NA
"389","HTA2-neg-47421393_st",NA
"390","HTA2-neg-47421410_st",NA
"391","HTA2-neg-47421498_st",NA
"392","HTA2-neg-47421519_st",NA
"393","HTA2-neg-47421529_st",NA
"394","HTA2-neg-47421597_st",NA
"395","HTA2-neg-47421617_st",NA
"396","HTA2-neg-47421633_st",NA
"397","HTA2-neg-47421635_st",NA
"398","HTA2-neg-47421638_st",NA
"399","HTA2-neg-47421642_st",NA
"400","HTA2-neg-47421730_st",NA
"401","HTA2-neg-47421748_st",NA
"402","HTA2-neg-47421751_st",NA
"403","HTA2-neg-47421759_st",NA
"404","HTA2-neg-47421822_st",NA
"405","HTA2-neg-47421829_st",NA
"406","HTA2-neg-47421854_st",NA
"407","HTA2-neg-47421855_st",NA
"408","HTA2-neg-47421856_st",NA
"409","HTA2-neg-47421889_st",NA
"410","HTA2-neg-47421950_st",NA
"411","HTA2-neg-47421976_st",NA
"412","HTA2-neg-47421989_st",NA
"413","HTA2-neg-47422012_st",NA
"414","HTA2-neg-47422014_st",NA
"415","HTA2-neg-47422029_st",NA
"416","HTA2-neg-47422037_st",NA
"417","HTA2-neg-47422060_st",NA
"418","HTA2-neg-47422078_st",NA
"419","HTA2-neg-47422080_st",NA
"420","HTA2-neg-47422083_st",NA
"421","HTA2-neg-47422085_st",NA
"422","HTA2-neg-47422090_st",NA
"423","HTA2-neg-47422093_st",NA
"424","HTA2-neg-47422095_st",NA
"425","HTA2-neg-47422105_st",NA
"426","HTA2-neg-47422120_st",NA
"427","HTA2-neg-47422171_st",NA
"428","HTA2-neg-47422186_st",NA
"429","HTA2-neg-47422232_st",NA
"430","HTA2-neg-47422236_st",NA
"431","HTA2-neg-47422238_st",NA
"432","HTA2-neg-47422251_st",NA
"433","HTA2-neg-47422252_st",NA
"434","HTA2-neg-47422253_st",NA
"435","HTA2-neg-47422271_st",NA
"436","HTA2-neg-47422276_st",NA
"437","HTA2-neg-47422282_st",NA
"438","HTA2-neg-47422308_st",NA
"439","HTA2-neg-47422318_st",NA
"440","HTA2-neg-47422320_st",NA
"441","HTA2-neg-47422321_st",NA
"442","HTA2-neg-47422322_st",NA
"443","HTA2-neg-47422326_st",NA
"444","HTA2-neg-47422334_st",NA
"445","HTA2-neg-47422335_st",NA
"446","HTA2-neg-47422337_st",NA
"447","HTA2-neg-47422342_st",NA
"448","HTA2-neg-47422344_st",NA
"449","HTA2-neg-47422398_st",NA
"450","HTA2-neg-47422416_st",NA
"451","HTA2-neg-47422433_st",NA
"452","HTA2-neg-47422438_st",NA
"453","HTA2-neg-47422444_st",NA
"454","HTA2-neg-47422459_st",NA
"455","HTA2-neg-47422461_st",NA
"456","HTA2-neg-47422462_st",NA
"457","HTA2-neg-47422463_st",NA
"458","HTA2-neg-47422480_st",NA
"459","HTA2-neg-47422495_st",NA
"460","HTA2-neg-47422515_st",NA
"461","HTA2-neg-47422669_st",NA
"462","HTA2-neg-47422670_st",NA
"463","HTA2-neg-47422671_st",NA
"464","HTA2-neg-47422675_st",NA
"465","HTA2-neg-47422683_st",NA
"466","HTA2-neg-47422685_st",NA
"467","HTA2-neg-47422688_st",NA
"468","HTA2-neg-47422699_st",NA
"469","HTA2-neg-47422731_st",NA
"470","HTA2-neg-47422763_st",NA
"471","HTA2-neg-47422764_st",NA
"472","HTA2-neg-47422765_st",NA
"473","HTA2-neg-47422852_st",NA
"474","HTA2-neg-47422892_st",NA
"475","HTA2-neg-47422896_st",NA
"476","HTA2-neg-47422925_st",NA
"477","HTA2-neg-47422964_st",NA
"478","HTA2-neg-47422968_st",NA
"479","HTA2-neg-47422977_st",NA
"480","HTA2-neg-47422979_st",NA
"481","HTA2-neg-47422981_st",NA
"482","HTA2-neg-47422984_st",NA
"483","HTA2-neg-47422985_st",NA
"484","HTA2-neg-47423012_st",NA
"485","HTA2-neg-47423025_st",NA
"486","HTA2-neg-47423026_st",NA
"487","HTA2-neg-47423028_st",NA
"488","HTA2-neg-47423030_st",NA
"489","HTA2-neg-47423032_st",NA
"490","HTA2-neg-47423051_st",NA
"491","HTA2-neg-47423059_st",NA
"492","HTA2-neg-47423060_st",NA
"493","HTA2-neg-47423061_st",NA
"494","HTA2-neg-47423062_st",NA
"495","HTA2-neg-47423065_st",NA
"496","HTA2-neg-47423073_st",NA
"497","HTA2-neg-47423074_st",NA
"498","HTA2-neg-47423090_st",NA
"499","HTA2-neg-47423091_st",NA
"500","HTA2-neg-47423111_st",NA
"501","HTA2-neg-47423112_st",NA
"502","HTA2-neg-47423115_st",NA
"503","HTA2-neg-47423121_st",NA
"504","HTA2-neg-47423153_st",NA
"505","HTA2-neg-47423157_st",NA
"506","HTA2-neg-47423158_st",NA
"507","HTA2-neg-47423174_st",NA
"508","HTA2-neg-47423186_st",NA
"509","HTA2-neg-47423203_st",NA
"510","HTA2-neg-47423221_st",NA
"511","HTA2-neg-47423235_st",NA
"512","HTA2-neg-47423273_st",NA
"513","HTA2-neg-47423277_st",NA
"514","HTA2-neg-47423294_st",NA
"515","HTA2-neg-47423295_st",NA
"516","HTA2-neg-47423296_st",NA
"517","HTA2-neg-47423298_st",NA
"518","HTA2-neg-47423299_st",NA
"519","HTA2-neg-47423300_st",NA
"520","HTA2-neg-47423316_st",NA
"521","HTA2-neg-47423336_st",NA
"522","HTA2-neg-47423340_st",NA
"523","HTA2-neg-47423377_st",NA
"524","HTA2-neg-47423380_st",NA
"525","HTA2-neg-47423384_st",NA
"526","HTA2-neg-47423391_st",NA
"527","HTA2-neg-47423420_st",NA
"528","HTA2-neg-47423425_st",NA
"529","HTA2-neg-47423444_st",NA
"530","HTA2-neg-47423502_st",NA
"531","HTA2-neg-47423504_st",NA
"532","HTA2-neg-47423506_st",NA
"533","HTA2-neg-47423512_st",NA
"534","HTA2-neg-47423515_st",NA
"535","HTA2-neg-47423527_st",NA
"536","HTA2-neg-47423532_st",NA
"537","HTA2-neg-47423543_st",NA
"538","HTA2-neg-47423546_st",NA
"539","HTA2-neg-47423547_st",NA
"540","HTA2-neg-47423568_st",NA
"541","HTA2-neg-47423573_st",NA
"542","HTA2-neg-47423590_st",NA
"543","HTA2-neg-47423602_st",NA
"544","HTA2-neg-47423604_st",NA
"545","HTA2-neg-47423631_st",NA
"546","HTA2-neg-47423669_st",NA
"547","HTA2-neg-47423694_st",NA
"548","HTA2-neg-47423696_st",NA
"549","HTA2-neg-47423726_st",NA
"550","HTA2-neg-47423728_st",NA
"551","HTA2-neg-47423736_st",NA
"552","HTA2-neg-47423764_st",NA
"553","HTA2-neg-47423769_st",NA
"554","HTA2-neg-47423794_st",NA
"555","HTA2-neg-47423802_st",NA
"556","HTA2-neg-47423805_st",NA
"557","HTA2-neg-47423820_st",NA
"558","HTA2-neg-47423824_st",NA
"559","HTA2-neg-47423835_st",NA
"560","HTA2-neg-47423838_st",NA
"561","HTA2-neg-47423840_st",NA
"562","HTA2-neg-47423841_st",NA
"563","HTA2-neg-47423847_st",NA
"564","HTA2-neg-47423848_st",NA
"565","HTA2-neg-47423855_st",NA
"566","HTA2-neg-47423889_st",NA
"567","HTA2-neg-47423900_st",NA
"568","HTA2-neg-47424007_st",NA
"569","HTA2-neg-47424009_st",NA
"570","HTA2-neg-47424016_st",NA
"571","HTA2-neg-47424018_st",NA
"572","HTA2-neg-47424020_st",NA
"573","HTA2-neg-47424023_st",NA
"574","HTA2-neg-47424024_st",NA
"575","HTA2-neg-47424025_st",NA
"576","HTA2-neg-47424034_st",NA
"577","HTA2-neg-47424036_st",NA
"578","HTA2-neg-47424037_st",NA
"579","HTA2-neg-47424041_st",NA
"580","HTA2-neg-47424043_st",NA
"581","HTA2-neg-47424044_st",NA
"582","HTA2-neg-47424053_st",NA
"583","HTA2-neg-47424055_st",NA
"584","HTA2-neg-47424057_st",NA
"585","HTA2-neg-47424061_st",NA
"586","HTA2-neg-47424062_st",NA
"587","HTA2-neg-47424102_st",NA
"588","HTA2-neg-47424198_st",NA
"589","HTA2-neg-47424228_st",NA
"590","HTA2-neg-47424232_st",NA
"591","HTA2-neg-47424233_st",NA
"592","HTA2-neg-47424237_st",NA
"593","HTA2-neg-47424238_st",NA
"594","HTA2-neg-47424240_st",NA
"595","HTA2-neg-47424241_st",NA
"596","HTA2-neg-47424255_st",NA
"597","HTA2-neg-47424278_st",NA
"598","HTA2-neg-47424280_st",NA
"599","HTA2-neg-47424282_st",NA
"600","HTA2-neg-47424289_st",NA
"601","HTA2-neg-47424309_st",NA
"602","HTA2-neg-47424336_st",NA
"603","HTA2-neg-47424344_st",NA
"604","HTA2-neg-47424348_st",NA
"605","HTA2-neg-47424353_st",NA
"606","HTA2-neg-47424354_st",NA
"607","HTA2-neg-47424360_st",NA
"608","HTA2-neg-47424374_st",NA
"609","HTA2-neg-47424390_st",NA
"610","HTA2-neg-47424420_st",NA
"611","HTA2-neg-47424433_st",NA
"612","HTA2-neg-47424435_st",NA
"613","HTA2-neg-47424440_st",NA
"614","HTA2-neg-47424444_st",NA
"615","HTA2-neg-47424450_st",NA
"616","HTA2-neg-47424455_st",NA
"617","HTA2-neg-47424456_st",NA
"618","HTA2-neg-47424463_st",NA
"619","HTA2-neg-47424467_st",NA
"620","HTA2-neg-47424485_st",NA
"621","HTA2-neg-47424494_st",NA
"622","HTA2-neg-47424515_st",NA
"623","HTA2-neg-47424532_st",NA
"624","HTA2-neg-47424564_st",NA
"625","HTA2-neg-47424614_st",NA
"626","HTA2-neg-47424625_st",NA
"627","HTA2-neg-47424639_st",NA
"628","HTA2-neg-47424659_st",NA
"629","HTA2-neg-47424704_st",NA
"630","HTA2-neg-47424737_st",NA
"631","HTA2-neg-47424739_st",NA
"632","HTA2-neg-47424780_st",NA
"633","HTA2-pos-2828010_st",NA
"634","HTA2-pos-2828012_st",NA
"635","HTA2-pos-2835442_st",NA
"636","HTA2-pos-2835447_st",NA
"637","HTA2-pos-2835453_st",NA
"638","HTA2-pos-2835461_st",NA
"639","HTA2-pos-2839509_st",NA
"640","HTA2-pos-2839511_st",NA
"641","HTA2-pos-2839513_st",NA
"642","HTA2-pos-2839515_st",NA
"643","HTA2-pos-2839517_st",NA
"644","HTA2-pos-2839524_st",NA
"645","HTA2-pos-2839532_st",NA
"646","HTA2-pos-2839538_st",NA
"647","HTA2-pos-2839539_st",NA
"648","HTA2-pos-2891949_st",NA
"649","HTA2-pos-2909145_st",NA
"650","HTA2-pos-2909162_st",NA
"651","HTA2-pos-2909164_st",NA
"652","HTA2-pos-2909166_st",NA
"653","HTA2-pos-2909167_st",NA
"654","HTA2-pos-2909168_st",NA
"655","HTA2-pos-2909175_st",NA
"656","HTA2-pos-2909177_st",NA
"657","HTA2-pos-2909181_st",NA
"658","HTA2-pos-2909185_st",NA
"659","HTA2-pos-2909193_st",NA
"660","HTA2-pos-2909197_st",NA
"661","HTA2-pos-2909199_st",NA
"662","HTA2-pos-2912049_st",NA
