SYMBOL,EH031TC,EH072TC,EH113TC,EH041TT,EH082TT,EH123TT,EH011SC,EH052SC,EH093SC,EH021ST,EH062ST,EH103ST
MIR4741,8.93458829468471,7.66126226985473,8.83708923509777,8.21404868422338,8.73624272105163,8.96701396617985,8.87378503423099,8.9201341996014,8.66861150123789,9.2099547718954,9.19286057177421,8.45018610256731
MIR4742,8.39036039294156,7.82279421247629,8.35077536665906,8.129080783509,8.32803679110887,8.32183717263071,7.66291181939395,7.82588071639071,7.61760635884359,7.95820003942067,7.90875365159377,7.66336592616338
MIR4746,6.84662745745235,7.57972155056113,7.32641796576166,7.28133940449428,7.08763060364575,7.11872310022817,7.29827093132172,6.82365374868693,7.24638610275452,6.8031155365918,6.58368727958683,7.19107511940294
MIR4748,6.15110597641217,6.74461864489666,6.89556148476037,6.44929402995063,6.13639420348279,6.07168555041009,6.43422816234855,6.04199744672986,6.40859481402532,5.72924109968449,5.66889674630487,6.32170734849755
MIR4749,9.08752851244094,8.98199449892484,9.0291430714558,9.72309907943638,9.72612543707413,9.51535870622305,9.41103393817458,9.06674247596879,9.42969828434757,9.52821301951546,9.21745481223404,9.5558451251392
MIR4750,8.90030968608716,8.95598522000753,8.9192790904835,8.6223849862781,8.69455602629564,8.55578119507694,7.85299606279918,7.94133712491948,7.71331364875776,7.73096102732929,7.81959005593172,7.67903937062334
MIR4751,7.47090815275093,6.82395034047203,6.5581116802645,8.09656686760854,7.69341620169487,7.9203383915813,6.46062461543001,6.40634852914227,6.57911099917707,6.98574038012859,6.9228837673514,6.99804353978781
MIR4754,7.29789162747209,7.91258057032398,7.71222433316466,7.11375243917931,7.28887376758026,6.96887796165663,7.30689518071098,6.90167782726548,7.41265748807422,6.79686900983974,7.29493428403022,7.3846499190444
MIR4755,3.80415902961187,3.86854188459755,2.96172789617523,4.13659589137522,4.03533452701323,3.76002733862752,3.03794497870501,3.4424374175559,3.79075959108824,3.83905091522508,3.58513569886708,3.31481869207654
MIR4756,5.84607319218943,5.91248200807561,6.42517679565288,6.02049150455353,6.25489933164376,5.68690735149262,5.3357365114411,5.22959325409018,5.08562945467696,5.07959844216178,4.74343470744584,5.32016324888545
MIR4757,5.76264766441228,6.56988922252059,6.2953204181184,6.28464682578595,6.00795643865522,5.90966143692172,6.04698704808129,6.13817466053405,6.06588050354783,5.1872189033228,5.61153695894286,6.11616127720909
MIR4758,7.59810708918113,7.21397458908441,7.60712713140287,7.91650339729338,7.89391672914027,7.81036094343251,7.14483320749157,7.13752457299318,6.61495050415528,6.9674137912525,6.68920686448277,6.61756956087007
MIR4761,10.6027345884378,10.5977742431084,10.6404208754714,10.7721586971829,10.819488917397,10.801181316826,9.473362633225,9.38796132376155,9.696901731782,9.57336486540605,9.48403847779494,9.765987209352
MIR4764,1.47852117340395,2.04364889878935,1.54010002746468,2.15638288405022,1.92419730310804,2.08403038982191,2.01893343106429,1.49490293055258,2.21009786081911,2.05402388345356,1.25016720144402,2.12268369900171
MIR4765,6.16560356122933,4.92527537648004,6.03987201048446,6.39658635452141,6.43501927914785,6.57820528604501,6.56854009184256,6.63990656127766,6.72450860400476,7.061305446664,7.05523031129941,6.43832150194994
MIR4770,2.26737128036076,2.37628658078906,2.55668533185834,2.51390328098852,2.56971076921358,2.93980396960661,2.85761838100751,3.15359455566167,2.49950431799278,3.3777862774252,2.71326693850883,2.27338618608005
MIR4771-1,3.259895483377,2.7326370131855553,2.815435602243885,2.86167685211369,3.20363972429583,2.96194401486467,3.29721488292591,3.5023619786240197,3.15418112697941,3.7227201518535598,3.33672634152994,3.1972440598622347
MIR4771-2,3.259895483377,2.7326370131855553,2.815435602243885,2.86167685211369,3.20363972429583,2.96194401486467,3.29721488292591,3.5023619786240197,3.15418112697941,3.7227201518535598,3.33672634152994,3.1972440598622347
MIR4773-1,2.78694947706825,3.30107324635381,3.23196186689614,3.23251074765014,2.91383436812275,3.04089251494369,3.02004862335647,3.29777332467144,3.21918262073174,3.30896933067868,2.8533776188441,3.36886655089931
MIR4773-2,2.98997167981576,3.42304720767684,3.05026983600179,3.37519792724734,2.72239467541196,3.14571585912414,3.46364601212204,3.15810621391826,2.92972078606736,2.66544808395392,2.80842056481442,2.53452207362873
MIR4774,1.73304315304701,1.69509541688991,2.00559604983862,1.8320967381433,2.21175351574838,1.64854741366262,2.09476061361197,2.49121212505774,2.3157506427956,2.80948283121827,3.32913694088207,2.23277490487576
MIR4779,2.41828806921243,2.50251017899444,2.20246856055183,2.28496053876518,2.47355219783016,2.74632685197104,2.29650749434586,2.25909968453461,1.9797818220294,1.7239412752522,1.95307277760314,1.93156210179283
MIR4780,5.56049323102941,6.33394980844264,6.31859009456303,5.81330689527754,5.76985572389946,5.55261777134914,6.18060261895321,5.57199066848503,5.74603400789928,5.8217102226209,5.68951535329358,6.11561711638489
MIR4781,6.39786466668011,4.49656468258236,4.91424347633518,6.65590772177762,6.56792075918142,6.28730074320319,6.07856525053191,6.55699599624933,6.35192391494785,6.47459838859201,6.37406273232796,6.31821193262638
MIR4782,1.64158764902587,2.02386922297451,1.72715680683606,2.06347252272686,1.78458236425968,1.66175548479324,1.48007758401029,2.02612731551398,2.21273650483366,2.22621522786847,1.43703153183309,1.82437633966911
MIR4783,6.04322335529842,6.53414526074229,6.31009299811008,6.35504126165956,6.23361068502462,5.75498681960806,5.96781487415315,5.88705495402587,5.91807518972865,5.78634409399934,5.66117828594358,6.07088609760486
MIR4784,8.86593793167047,8.81540119120622,8.84123900907341,8.99480986372585,9.09812263116911,9.05794796333839,9.65502807272351,9.57658892622512,9.37716269329618,9.74264206449696,9.36581951496799,9.55367269888875
MIR4785,6.51521095714309,5.69676086788299,5.72149368814149,6.82033309743577,6.51536259776489,6.45135755086372,5.44410826878501,5.53413261344472,5.54969837797999,6.0687825064759,5.94535382444723,5.77074475573851
MIR4786,5.45313167612748,5.46876503742071,5.57017067573342,5.28859347575778,5.64332831683081,5.19529963142019,5.64274706675967,5.17344428887121,5.75556435513741,5.13977765200482,5.31078944527595,5.71125318157983
MIR4787,8.63027233911066,9.5223790374306,9.01761261440975,8.91486375950028,8.88922930980593,8.73500527150938,8.84942006766986,8.31974412564297,8.77845115053436,8.47804098408746,8.40137285857854,8.90473095667002
